,MSFT_Open,MSFT_Close,MSFT_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,GOOGL_Open,GOOGL_Close,GOOGL_Volume,MSFT_SO_K,MSFT_SO_D,MSFT_SO_B/S_Decision,AAPL_SO_K,AAPL_SO_D,AAPL_SO_B/S_Decision,GOOGL_SO_K,GOOGL_SO_D,GOOGL_SO_B/S_Decision,MSFT_MACD,MSFT_signal_MACD,MSFT_signal_MACD_diff,MSFT_MACD_B/S_Decision,AAPL_MACD,AAPL_signal_MACD,AAPL_signal_MACD_diff,AAPL_MACD_B/S_Decision,GOOGL_MACD,GOOGL_signal_MACD,GOOGL_signal_MACD_diff,GOOGL_MACD_B/S_Decision,MSFT_Final_BorS_Decision,AAPL_Final_BorS_Decision,GOOGL_Final_BorS_Decision,Cash Balance,MSFT_owned_shares,AAPL_owned_shares,GOOGL_owned_shares,Portfolio Value,NS Portfolio Value,SP_500_Value_per_unit,SP_500_Total_Value,Strategy_Portfolio_DReturns,NS_Portfolio_DReturns,SP_500_DReturns,Maximum Value,Drawdown,Drawdown (%),Maximum Drawdown
2018-08-08,102.78653051690756,102.93695068359375,15487500,49.0355928070277,49.3211669921875,90102000,62.83599853515625,63.06650161743164,34344000,84.85869644953051,74.89130140180528,NA,91.41128937699565,96.43234566350944,Sell,78.80568257461975,69.2540246787059,NA,1.6446894383931294,1.65875714220433,-0.014067703811200483,NA,1.175737861266306,0.8067407675254264,0.36899709374087963,NA,1.1358819232741837,1.1973066094116223,-0.06142468613743857,NA,NA,NA,NA,16.546242972603068,7562,33585,0,2434860.614501953,2301361.8986091614,2857.699951171875,1388842.1762695312,0.0022458127937170502,0.0037625999672459276,-0.0002623799656497061,2448947.480419159,-14086.86591720581,-0.005752212340133451,-271829.06271743774
2018-08-09,103.14377748653496,103.10617065429688,13677200,49.863741758499096,49.70905685424805,93970400,63.13650131225586,63.222999572753906,27326000,82.529994585881,77.28710383434331,Sell,99.00827580206342,96.23400082392212,Sell,76.35685565110039,70.67892534828448,NA,1.6765452102936962,1.6623147558222033,0.014230454471492848,Buy,1.2335565845489,0.8921039309301212,0.34145265361877886,NA,1.1481019718336611,1.18746568189603,-0.03936371006236894,NA,NA,NA,NA,16.546242972603068,7562,33585,0,2449167.5369377136,2309914.197696686,2853.580078125,1386839.91796875,0.005875869177294657,0.003716190440405276,-0.0014416744645237012,2449167.5369377136,0.0,0.0,-271829.06271743774
2018-08-10,102.87112590444697,102.47626495361328,18183700,49.52039531406282,49.56099319458008,98444800,62.95899963378906,62.6254997253418,26602000,71.53941682484553,77.36540350197546,Sell,95.76103579711067,95.38620798334425,Sell,62.92838710230536,70.52422740627324,NA,1.6321486200154567,1.656281528660854,-0.02413290864539741,Sell,1.2529871831067823,0.9642805813654535,0.2887066017413288,NA,1.0969284953065497,1.169358244578134,-0.07242974927158441,NA,Sell,NA,NA,16.546242972603068,7562,33585,0,2439431.4720191956,2295241.6579055786,2833.280029296875,1376974.0942382812,-0.003975254763784575,-0.006351984764515373,-0.007113887913551609,2449167.5369377136,-9736.064918518066,-0.003975254763784529,-271829.06271743774
2018-08-13,102.70189591792544,101.7335433959961,18472500,49.98608291921742,49.881004333496094,103563600,62.560001373291016,62.43199920654297,27500000,59.2532106942369,75.22946353484244,Sell,100.0,95.38620798334425,Sell,58.579573220394195,70.3222682240735,NA,1.519516539047217,1.6289285307381267,-0.10941199169090976,NA,1.2794594844191352,1.0273163619761898,0.25214312244294534,NA,1.0288987672366048,1.1412663491098283,-0.11236758187322349,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2450294.4722824097,2290959.705604553,2821.929931640625,1371457.9467773438,0.00445308687200896,-0.0018655779822908114,-0.004005992185342366,2450294.4722824097,0.0,0.0,-271829.06271743774
2018-08-14,102.06258223946593,103.00273132324219,16788300,50.18907810738632,50.091163635253906,82992000,62.625,62.90700149536133,28080000,80.24829873591534,75.68592345808186,Sell,100.0,97.23612019523395,Sell,68.77425545494678,69.0889508006733,NA,1.5152013639487336,1.6061830973802482,-0.09098173343151461,NA,1.3023840011497398,1.0823298898109,0.2200541113388399,NA,1.0017657011361294,1.1133662195150886,-0.11160051837895923,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2461933.739253998,2310219.123867035,2839.9599609375,1380220.541015625,0.004750150279181131,0.008406703188784004,0.006389254777276809,2461933.739253998,0.0,0.0,-271829.06271743774
2018-08-15,102.38929353271197,101.60597229003906,29982800,49.96459234427836,50.20818328857422,115230400,62.2140007019043,61.611000061035156,37052000,57.14291123137192,70.14276641445015,NA,100.0,98.95386231983483,Sell,39.19193906933936,61.16620209961722,NA,1.3831309037277464,1.561572658649748,-0.17844175492200165,NA,1.3148377230565345,1.1288314564600268,0.18600626659650765,NA,0.8657067377648815,1.0638343231650473,-0.19812758540016584,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2458728.6890945435,2284008.4625701904,2818.3701171875,1369727.876953125,-0.0013018425753511531,-0.0113455303984199,-0.007602164835758152,2461933.739253998,-3205.0501594543457,-0.001301842575351164,-271829.06271743774
2018-08-16,102.21000230603093,101.58711242675781,21384300,50.568794008858276,50.94373321533203,114001600,62.0994987487793,61.202999114990234,32176000,56.83092867816324,65.00295323290659,NA,100.0,99.15220715942215,Sell,29.87897632728549,51.87062623485423,NA,1.2623902303728727,1.501736172994373,-0.23934594262150033,NA,1.3682873543424634,1.1767226360365142,0.19156471830594923,NA,0.7166951469745371,0.9944064879269453,-0.27771134095240824,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2486614.158893585,2288593.7650489807,2840.68994140625,1380575.3115234375,0.011341417994886971,0.002007568077760258,0.007919408484583057,2486614.158893585,0.0,0.0,-271829.06271743774
2018-08-17,101.32285710412634,101.53048706054688,18061500,50.97238645577858,51.96107482910156,141708000,61.10200119018555,60.79249954223633,33092000,48.0586247179789,60.30679481153326,NA,100.0,100.0,Sell,20.50898034138097,43.38674488266936,NA,1.1488895000367307,1.4311668384028446,-0.2822773383661139,NA,1.4757262841766732,1.236523365664546,0.23920291851212716,NA,0.5590343034065839,0.9073320510228731,-0.3482977476162892,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2526137.333141327,2296608.2671089172,2850.1298828125,1385163.123046875,0.01589437352247991,0.0035019330133345683,0.0033231157222237684,2526137.333141327,0.0,0.0,-271829.06271743774
2018-08-20,101.46441541048515,100.86040496826172,17914200,52.085259929980445,51.45479202270508,121150800,61.03300094604492,61.09749984741211,22218000,35.004800675364365,55.457112807758755,NA,92.5177768970527,98.50355537941054,Sell,14.697993931306815,34.61042902485188,NA,0.9934178264567635,1.3436170360136286,-0.3501992095568651,NA,1.5026974579333654,1.28975818411831,0.2129392738150555,NA,0.4534705978513358,0.8165597603885657,-0.3630891625372299,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2507093.6508598328,2288103.746284485,2857.050048828125,1388526.3237304688,-0.007538656759334961,-0.003703078555551076,0.0024280177746833775,2526137.333141327,-19043.68228149414,-0.007538656759334916,-271829.06271743774
2018-08-21,100.90759840555083,100.02046203613281,22881900,51.77480275090329,51.354488372802734,104639200,61.1510009765625,60.87049865722656,23082000,18.641929068906784,43.13583887435705,NA,91.03541510809335,96.71063840102923,Sell,2.2397435911479358,21.303526652092113,Buy,0.793284539733321,1.2335505367575672,-0.4402659970242462,NA,1.4987025313068472,1.3315470535560174,0.16715547775082973,NA,0.34748787778212176,0.7227453838672769,-0.3752575060851552,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2501536.6973342896,2276970.5589408875,2862.9599609375,1391398.541015625,-0.0022164922014928923,-0.0048656829314125405,0.0020685364303643095,2526137.333141327,-24600.635807037354,-0.00973843958691103,-271829.06271743774
2018-08-22,99.89776112911451,101.03971862792969,18000600,51.12999653796476,51.356868743896484,76072400,60.71099853515625,61.087501525878906,22296000,38.49799798460811,39.40685622500428,NA,91.07059399895479,94.92475720082018,Sell,8.470978194074599,15.159334477039163,Buy,0.7087528946120472,1.1285910083284632,-0.419838113716416,NA,1.4786832590649794,1.3609742946578098,0.1177089644071696,NA,0.2778037774747233,0.6337570625887662,-0.3559532851140429,NA,NA,NA,NA,-3.5235490926424973,0,41354,6207,2502982.0720062256,2288150.9644203186,2861.820068359375,1390844.5532226562,0.0005777947105378711,0.004910210821799765,-0.0003981517707819515,2526137.333141327,-23155.26113510132,-0.009166271695255405,-271829.06271743774
